,Player,Pos,BasePos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
10,Ryan Anderson,PF,PF,31.0,HOU,2.0,14.0,9.5,0.357,0.714,0.0,0.0,52.8,26.2,20.1,3.3,0.0,12.5,23.6,0.0,0.0,0.0,0.0,-0.031,-4.1,0.7,-3.4,0.0
11,Giannis Antetokounmpo,PF,PF,25.0,MIL,57.0,1763.0,31.6,0.608,0.238,0.5,7.8,34.5,22.0,33.9,1.5,2.9,13.1,37.4,0.0,5.6,4.8,10.4,0.282,7.4,4.1,11.5,6.0
12,Kostas Antetokounmpo,PF,PF,22.0,LAL,3.0,5.0,8.6,0.0,0.0,0.0,0.0,21.3,10.9,22.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.136,1.2,3.1,4.3,0.0
13,Thanasis Antetokounmpo,SF,SF,27.0,MIL,18.0,93.0,14.2,0.528,0.194,0.417,12.4,8.0,10.1,13.8,2.9,1.9,20.5,23.8,0.0,0.0,0.2,0.2,0.083,-4.0,1.7,-2.3,0.0
14,Carmelo Anthony,PF,PF,35.0,POR,50.0,1623.0,12.2,0.517,0.286,0.197,4.0,15.8,10.0,7.0,1.2,1.2,10.5,21.6,0.0,0.1,0.9,1.0,0.029,-1.9,-1.8,-3.7,-0.7
15,OG Anunoby,SF,SF,22.0,TOR,63.0,1897.0,13.2,0.598,0.408,0.163,4.2,14.6,9.5,7.5,2.2,2.1,11.7,14.4,0.0,1.8,3.3,5.1,0.13,-0.9,1.8,0.9,1.4
16,Ryan Arcidiacono,PG,PG,25.0,CHI,58.0,930.0,9.0,0.551,0.627,0.173,2.3,11.2,6.5,14.3,1.4,0.3,13.5,12.5,0.0,0.7,0.7,1.4,0.07,-2.7,-0.1,-2.8,-0.2
17,Trevor Ariza,SF,SF,34.0,TOT,53.0,1493.0,11.0,0.593,0.639,0.228,2.5,15.6,9.0,8.1,2.2,0.9,13.6,11.9,0.0,1.3,1.3,2.6,0.084,-1.5,0.9,-0.5,0.6
18,Trevor Ariza,SF,SF,34.0,SAC,32.0,791.0,9.4,0.543,0.739,0.164,2.9,18.3,10.4,8.4,2.2,0.8,13.7,11.3,0.0,0.3,0.8,1.1,0.069,-1.9,1.3,-0.6,0.3
19,Trevor Ariza,SF,SF,34.0,POR,21.0,702.0,12.8,0.643,0.535,0.296,1.9,12.6,7.4,7.7,2.3,1.0,13.5,12.6,0.0,1.0,0.5,1.5,0.101,-1.0,0.5,-0.5,0.3
20,D.J. Augustin,PG,PG,32.0,ORL,49.0,1215.0,14.2,0.548,0.438,0.395,1.5,8.3,4.8,26.7,1.2,0.1,12.9,19.1,0.0,1.8,0.8,2.6,0.101,-0.3,-1.0,-1.4,0.2
